nonce,value
1591912933,99.85
1591917534,0.0
1591917714,4858.19
1591919875,2.0
1591920416,5000.0
1591920861,5000.0
1591921179,2.0
1591923373,873.04
1591926592,20000.0
1591928908,591.37
1591929501,705.12
1591933245,3380.0
1591933538,3380.0
1591933880,3380.0
1591934291,9584.35
1591934537,9584.35
1591935464,19.55
1591936318,15000.0
1591936690,15000.0
1591937889,135.0
1591943717,135.0
1591944003,7012.13
1591944061,741.51
1591944485,30.0
1591944789,280.0
1591946170,196.63
1591946357,182.0
1591946782,20.0
1591947079,12.77
1591947395,93.79
1591947522,93.79
1591947586,80.46
1591947732,7.26
1591948442,196.63
1591948619,50.0
1591951558,100.0
1591955392,37.48
1591956138,20.67
1591958627,30.46
1591961174,90.07
1591963717,50.0
1591964235,17.89
1591965317,200.0
1591965355,166.93
1591965573,200.0
1591965639,200.0
1591965913,200.0
1591966654,50.46
1591967114,50.46
1591968234,200.0
1591969226,100.0
1591969547,200.0
1591969570,50.0
1591969722,82.11
1591970448,0.0
1591971063,200.0
1591971405,200.0
1591971574,196.48
1591971925,40.0
1591972172,50.0
1591972229,39.21
1591972310,50.0
1591972580,50.46
1591972775,60.0
1591972841,50.46
1591972892,116.48
1591972901,25.0
1591973189,282.52
1591974605,2840.86
1591974718,4858.19
1591974777,30.0
1591974988,4858.19
1591975002,3426.05
1591975680,20.0
1591975797,30.0
1591976071,30.0
1591976762,51.5
1591976841,895.82
1591977087,895.82
1591977150,15.0
1591977667,51.5
1591977988,51.5
1591979389,259.28
1591979673,259.28
1591985403,77.92
1591986476,0.0
1591986823,20.0
1591986831,219832.58
1591987837,4.0
1591989659,1.0
1591991109,10.0
1591991632,39.0
1591991663,3.0
1591991930,3.0
1591991943,5.0
1591992285,2.0
1591993165,110000.0
1591993690,10.79
1591993952,108000.0
1591994145,5.0
1591994588,5.0
1591994971,1825.0
1591995293,1825.0
1591998936,20.0
1592003790,59.87
1592004079,30.0
1592004880,30000.0
1592018722,1350.89
1592018975,1350.89
1592053211,448.85
1592056530,342.45
1592062075,47000.0
1592062125,849.01
1592062181,0.01
1592063134,10000.0
1592063609,20000.0
1592064753,16999.99
1592067742,448.85
1592081065,605.36
1592082264,30000.0
1592083497,30000.0
1592084337,400.0
1592093359,121.28
1592096190,13.37
1592098006,327.91
1592098086,50.0
1592098220,50.0
1592100371,30.0
1592108648,999.0
1592109064,999.0
1592116402,60.0
1592116561,137.91
1592121043,87.89
1592121290,137.91
1592121308,87.89
1592124881,42.23
1592124944,38.05
1592125001,80.49
1592129425,632.0
1592133912,0.78
1592159140,321.19
1592166583,100.0
1592166843,100.0
1592167054,1375.96
1592167329,1375.96
1592176137,632.78
1592178915,34.63
1592230124,5624.15
1592230455,5624.15
1592232280,1067.25
1592232363,1067.25
1592250801,634.41
1592253876,0.0
1592255614,0.0
1592259267,30232.19
1592259888,25666.67
1592259989,25666.67
1592260947,90000.0
1592261040,0.0
1592261550,95000.0
1592269987,15000.0
1592270414,15000.0
1592276691,30000.0
1592288851,49995.75
1592292983,75.39
1592300461,9438.23
1592300723,5000.0
1592300967,5000.0
1592331128,15000.0
1592331482,15000.0
1592336468,1735.54
1592337675,55267.69
1592339233,300.0
1592339535,300.0
1592340238,1435.54
1592340473,1435.54
1592341174,381.29
1592343900,0.0
1592351513,439.84
1592375701,82.46
1592376062,82.46
1592397801,29.66
1592400922,300.0
1592401128,300.0
1592405664,50000.0
1592406642,1051.49
